,date,LAF01CG101XQ01Value,LAF02CG101XQ01Value,LAF11CG101XQ01Value,LAF12CG101XQ01Value,LAF13CG101XQ01Value,LAF14CG101XQ01Value
0,2016-3-1 00:00:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.59463
1,2016-3-1 00:01:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.5335799999999997
2,2016-3-1 00:02:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.5335799999999997
3,2016-3-1 00:03:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.59463
4,2016-3-1 00:04:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.59463
5,2016-3-1 00:05:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.59463
6,2016-3-1 00:06:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.59463
7,2016-3-1 00:07:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.59463
8,2016-3-1 00:08:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.59463
9,2016-3-1 00:09:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.59463
10,2016-3-1 00:10:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.59463
11,2016-3-1 00:11:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.59463
12,2016-3-1 00:12:00,0.152625,0.091576,0.091576,0.091576,0.335776,2.5335799999999997
13,2016-3-1 00:13:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.59463
14,2016-3-1 00:14:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.59463
15,2016-3-1 00:15:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.5335799999999997
16,2016-3-1 00:16:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.59463
17,2016-3-1 00:17:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.59463
18,2016-3-1 00:18:00,0.152625,0.091576,0.091576,0.091576,0.335776,2.5335799999999997
19,2016-3-1 00:19:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.59463
20,2016-3-1 00:20:00,0.152625,0.091576,0.091576,0.091576,0.335776,2.59463
21,2016-3-1 00:21:00,0.152625,0.091576,0.091576,0.091576,0.335776,2.59463
22,2016-3-1 00:22:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.59463
23,2016-3-1 00:23:00,0.152625,0.091576,0.091576,0.091576,0.335776,2.5335799999999997
24,2016-3-1 00:24:00,0.213675,0.091576,0.091576,0.091576,0.335776,2.59463
